    1  0.000000000000000E+000  0.371555306186690E+000  0.269138936612991E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000 -0.122968008117643E-017  0.000000000000000E+000
    2  0.577350269189626E-001  0.372297279502911E+000  0.268602553673020E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.174035930270988E-002  0.108001592991619E+002 -0.281850213198868E-018  0.577350269189626E-001
    3  0.816496580927726E-001  0.373382058075382E+000  0.267822188659668E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.348071860541975E-002  0.108001593092522E+002  0.146536699874994E-018  0.816496580927726E-001
    4  0.100000000000000E+000  0.374809641904103E+000  0.266802101173228E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.522107790812963E-002  0.108001593311856E+002  0.554806580451567E-019  0.100000000000000E+000
    5  0.115470053837925E+000  0.376283110311418E+000  0.265757344030771E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.696143721083950E-002  0.108001593429300E+002  0.164324391767334E-018  0.115470053837925E+000
    6  0.129099444873581E+000  0.377778108519090E+000  0.264705650605339E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.870179651354938E-002  0.108001593580418E+002  0.313402190484091E-018  0.129099444873581E+000
    7  0.141421356237310E+000  0.379287607314298E+000  0.263652168095054E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.104421558162593E-001  0.108001593712295E+002  0.912254484192881E-018  0.141421356237310E+000
    8  0.152752523165195E+000  0.380809983978142E+000  0.262598157105408E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.121825151189691E-001  0.108001593828219E+002 -0.430292737205185E-018  0.152752523165195E+000
    9  0.163299316185545E+000  0.382342561520797E+000  0.261545561661360E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.139228744216790E-001  0.108001593952791E+002  0.118584612615602E-019  0.163299316185545E+000
   10  0.173205080756888E+000  0.383884101763169E+000  0.260495288918459E+001  0.000000000000000E+000  0.000000000000000E+000 -0.830960357346723E-001  0.156632337243889E-001  0.108001594089985E+002  0.655603501174828E-018  0.173205080756888E+000
