    1    0    0  2.866313994021620E+000
    2   10    0  1.636481834349928E-002
    3   20    0 -6.151408731178546E-004
    4   30    0 -1.574320165234251E-004
    5   40    0  4.425286420988486E-005
    6   50    0 -6.365328755543899E-006
    7   60    0  2.501721913862458E-006
    8   70    0  7.880331156779790E-007
    9   80    0 -1.863217453738488E-006
   10   90    0  4.567375679228703E-007
   11  100    0 -4.747624475059150E-008
   12  110    0  3.319313810485930E-009
   13  120    0  1.440428462367391E-009
   14  130    0 -4.588241898004173E-010
   15  140    0  9.090181017601552E-011
   16  150    0 -9.109278449029829E-012
   17  160    0 -3.933342622915465E-012
   18  170    0  1.896423704798932E-012
   19  180    0 -3.845501990765235E-013
   20  190    0  2.751583220764599E-014
   21  200    0  1.111133089261887E-014
   22 -200    1 -1.179675472776148E-014
   23 -190    1  2.448704776510812E-014
   24 -180    1  8.388089485426079E-014
   25 -170    1 -1.084857862191929E-012
   26 -160    1  4.377362074810632E-012
   27 -150    1 -6.271193738082488E-012
   28 -140    1 -3.280650834108922E-011
   29 -130    1  2.236560384830746E-010
   30 -120    1 -1.439889655416780E-009
   31 -110    1  2.060986024204030E-009
   32 -100    1  1.295239335348515E-008
   33  -90    1 -1.929904332481098E-007
   34  -80    1  1.579489102297018E-006
   35  -70    1 -2.825184477459587E-006
   36  -60    1 -1.077576934096646E-006
   37  -50    1 -7.362887985659511E-006
   38  -40    1 -1.317857644247672E-005
   39  -30    1  1.234607258174559E-004
   40  -20    1  1.297179947239414E-004
   41  -10    1  4.301223677989338E-003
   42    0    1 -2.794134040199107E-001
   43   10    1 -1.876461451131814E-001
   44   20    1  1.835414460152183E-003
   45   30    1 -3.751874655374904E-005
   46   40    1 -6.920697986574138E-005
   47   50    1  4.267101956770194E-006
   48   60    1  4.938645229760546E-007
   49   70    1  2.026598640943076E-006
   50   80    1  1.187362459996011E-006
   51   90    1 -6.752141040867683E-007
   52  100    1  1.100845406276333E-007
   53  110    1 -1.276761019736880E-008
   54  120    1 -2.533523297560572E-011
   55  130    1  6.007841687609106E-010
   56  140    1 -1.616489577485764E-010
   57  150    1  3.450067921123088E-011
   58  160    1 -8.222764903251104E-013
   59  170    1 -2.075816958047667E-012
   60  180    1  7.405028173357901E-013
   61  190    1 -1.300380192987243E-013
   62  200    1  6.342005958193807E-015
   63 -200    2  7.859022292218958E-015
   64 -190    2 -3.600877314314350E-014
   65 -180    2  6.713551012576377E-014
   66 -170    2  2.570582810117054E-013
   67 -160    2 -2.791599810567519E-012
   68 -150    2  9.500040306846598E-012
   69 -140    2 -7.997796457456713E-012
   70 -130    2 -7.452694450172948E-011
   71 -120    2  7.124598365801032E-010
   72 -110    2 -3.971675114679533E-009
   73 -100    2  1.105629642877776E-009
   74  -90    2  3.432064420798143E-008
   75  -80    2 -8.605321861993853E-007
   76  -70    2  3.659438901223361E-006
   77  -60    2 -2.172589993426173E-006
   78  -50    2  1.462236154970739E-005
   79  -40    2 -1.386052278089621E-006
   80  -30    2 -3.681764956698543E-005
   81  -20    2  2.893027925853337E-004
   82  -10    2  1.547265909401848E-003
   83    0    2  3.743157471016750E-002
   84   10    2  4.003413113039379E-001
   85   20    2 -1.089928413288270E-002
   86   30    2  3.194181174815265E-004
   87   40    2  5.445574373400625E-005
   88   50    2 -9.216811661462065E-006
   89   60    2  3.656418332839673E-008
   90   70    2 -2.617971168533836E-006
   91   80    2  7.674998161186337E-008
   92   90    2  6.492698465284348E-007
   93  100    2 -1.869506435594154E-007
   94  110    2  2.714811740907532E-008
   95  120    2 -2.822495855984214E-009
   96  130    2 -3.865176400660750E-010
   97  140    2  2.230272268796674E-010
   98  150    2 -6.283938052249594E-011
   99  160    2  1.058550499162389E-011
  100  170    2  8.445374983538030E-013
  101  180    2 -9.381067291683910E-013
  102  190    2  2.686972260648829E-013
  103  200    2 -3.905514472436666E-014
  104 -200    3 -2.661687817598948E-015
  105 -190    3  2.567786455066093E-014
  106 -180    3 -9.764510603708939E-014
  107 -170    3  2.107269043137918E-013
  108 -160    3  8.270807618462712E-013
  109 -150    3 -6.277262152369753E-012
  110 -140    3  2.183920744635592E-011
  111 -130    3 -8.387936672732168E-012
  112 -120    3 -1.194821623809715E-010
  113 -110    3  2.721849935782875E-009
  114 -100    3 -7.063502887223968E-009
  115  -90    3  1.895038688008491E-008
  116  -80    3  1.699400829166682E-007
  117  -70    3 -2.565581001623000E-006
  118  -60    3  1.182882418515705E-006
  119  -50    3 -3.567009376534520E-006
  120  -40    3 -5.199081462821472E-006
  121  -30    3  5.419630490653439E-006
  122  -20    3 -2.000676529111052E-004
  123  -10    3 -6.537832722411656E-005
  124    0    3 -4.690274555495128E-003
  125   10    3 -8.654807484436182E-002
  126   20    3  1.821217502160229E-002
  127   30    3 -5.494435927256447E-004
  128   40    3  3.594959212649323E-005
  129   50    3  1.834502297271163E-005
  130   60    3 -2.457385601047927E-006
  131   70    3  1.178465873723260E-006
  132   80    3 -1.151909517025525E-006
  133   90    3 -3.007711363120855E-007
  134  100    3  2.249771164218171E-007
  135  110    3 -4.604237066789883E-008
  136  120    3  6.736542362690317E-009
  137  130    3 -3.339995927137190E-010
  138  140    3 -2.113131842418141E-010
  139  150    3  8.634464976886934E-011
  140  160    3 -2.294204453050620E-011
  141  170    3  2.370000209271075E-012
  142  180    3  7.008923238123191E-013
  143  190    3 -3.751951952264688E-013
