    1  0.000000000000000E+000  0.269138936612991E+001 -0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000 -0.122968008117643E-017  0.000000000000000E+000  0.163790969406603E-001
    2  0.100000000000000E+000  0.266802101173228E+001 -0.235907603458700E-001  0.164295348593272E-001  0.108001593311856E+002  0.554806580451567E-019  0.522107790812963E-002  0.104271874293706E+000
    3  0.200000000000000E+000  0.257365878359242E+001 -0.967234293538179E-001  0.328590697186545E-001  0.108001594387676E+002  0.360920738825057E-017  0.208843116325185E-001  0.208843117096449E+000
    4  0.300000000000000E+000  0.242238926366513E+001 -0.218997835810400E+000  0.492886045779817E-001  0.108001595011962E+002 -0.740306795900258E-018  0.469897011731666E-001  0.313264674487778E+000
    5  0.400000000000000E+000  0.222275529959589E+001 -0.397069684768157E+000  0.657181394373089E-001  0.108001594054085E+002 -0.470611505494489E-017  0.835372465300740E-001  0.417686232650371E+000
    6  0.500000000000000E+000  0.198538584700330E+001 -0.634220310083294E+000  0.821476742966362E-001  0.108001593278282E+002 -0.199018861286870E-016  0.130526947703241E+000  0.522107790812960E+000
    7  0.600000000000000E+000  0.172360988616812E+001 -0.938118293950514E+000  0.985772091559634E-001  0.108001592140222E+002 -0.214400979609009E-016  0.187958804692667E+000  0.626529348975546E+000
    8  0.700000000000000E+000  0.145043223332289E+001 -0.132757101801125E+001  0.115006744015291E+000  0.108001592041484E+002 -0.205456311686003E-016  0.255832817498352E+000  0.730950907138171E+000
    9  0.800000000000000E+000  0.117617320597665E+001 -0.185394297795617E+001  0.131436278874618E+000  0.108001593161945E+002 -0.279182059415017E-017  0.334148986120296E+000  0.835372465300743E+000
   10  0.900000000000000E+000  0.905382540911094E+000 -0.268618948136889E+001  0.147865813733945E+000  0.108001593386966E+002  0.162630325871542E-016  0.422907310558500E+000  0.939794023463360E+000
   11  0.100000000000000E+001  0.626187787823859E+000 -0.481046997945143E+001  0.164295348593272E+000  0.108001592916184E+002  0.190711162140200E-015  0.522107790812963E+000  0.104371269874552E+001
